Timestamp,ask1,bid1,VWAP
20230706135344940,6.65,6.65,6.648181186473869
20230706135346640,6.65,6.65,6.648181186473869
20230706135352030,6.65,6.65,6.648181186473869
20230706135358310,6.65,6.65,6.648181186473869
20230706135358460,6.65,6.65,6.648181186473869
20230706135401070,6.65,6.65,6.648181186473869
20230706135401080,6.65,6.65,6.648181186473869
20230706135401090,6.65,6.65,6.648181186473869
20230706135401210,6.65,6.65,6.648181186473869
20230706135403110,6.65,6.65,6.648181186473869
20230706135408610,6.65,6.65,6.648181186473869
20230706135410810,6.65,6.65,6.648181186473869
20230706135411810,6.65,6.65,6.648181186473869
20230706135414240,6.65,6.65,6.648181186473869
20230706135419830,6.65,6.65,6.648181186473869
20230706135428040,6.65,6.65,6.648181186473869
20230706135435630,6.65,6.65,6.648181186473869
20230706135438190,6.65,6.65,6.648181186473869
20230706135444340,6.65,6.65,6.648181186473869
20230706135446340,6.65,6.65,6.648181186473869
20230706135449390,6.65,6.65,6.648181186473869
20230706135454140,6.65,6.65,6.648181186473869
20230706135454440,6.65,6.65,6.648181186473869
20230706135457100,6.65,6.65,6.648181186473869
20230706135502720,6.65,6.65,6.6482096023088895
20230706135507520,6.65,6.65,6.6482096023088895
20230706135510710,6.65,6.65,6.6482096023088895
20230706135510920,6.65,6.65,6.6482096023088895
20230706135510940,6.65,6.65,6.6482096023088895
20230706135512980,6.65,6.65,6.6482096023088895
20230706135512990,6.65,6.65,6.6482096023088895
20230706135513980,6.65,6.65,6.6482096023088895
20230706135521580,6.65,6.65,6.6482096023088895
20230706135522010,6.65,6.65,6.648209750902686
20230706135524290,6.65,6.65,6.648209750902686
20230706135526620,6.65,6.65,6.6482113851872855
20230706135534610,6.65,6.65,6.6482113851872855
20230706135535070,6.65,6.65,6.6482113851872855
20230706135537310,6.65,6.65,6.6482113851872855
20230706135537940,6.65,6.65,6.6482113851872855
20230706135542710,6.65,6.65,6.6482113851872855
20230706135545260,6.65,6.65,6.6482113851872855
20230706135545400,6.65,6.65,6.648212127894157
20230706135545410,6.65,6.65,6.648212127894157
20230706135546090,6.65,6.65,6.648212127894157
20230706135548010,6.65,6.65,6.6482173242230544
20230706135548370,6.65,6.65,6.6482173242230544
20230706135550960,6.65,6.65,6.6482173242230544
20230706135551300,6.65,6.65,6.6482173242230544
20230706135551460,6.65,6.65,6.648219549818983
20230706135602350,6.65,6.65,6.648219549818983
20230706135604230,6.65,6.65,6.648219549818983
20230706135604240,6.65,6.65,6.648219549818983
20230706135604990,6.65,6.65,6.648219549818983
20230706135607070,6.65,6.65,6.648219549818983
20230706135607080,6.65,6.65,6.648219549818983
20230706135610440,6.65,6.65,6.648219549818983
20230706135612970,6.65,6.65,6.648219549818983
20230706135613020,6.65,6.65,6.648219549818983
20230706135613230,6.65,6.65,6.648219549818983
20230706135615970,6.65,6.65,6.648219549818983
20230706135616060,6.65,6.65,6.648219549818983
20230706135618510,6.65,6.65,6.648219549818983
20230706135620570,6.65,6.65,6.648219549818983
20230706135620630,6.65,6.65,6.648219549818983
20230706135621430,6.65,6.65,6.648219549818983
20230706135624160,6.65,6.65,6.648219549818983
20230706135624190,6.65,6.65,6.648219549818983
20230706135624210,6.65,6.65,6.648237228043928
20230706135629070,6.65,6.65,6.648240037205327
20230706135632010,6.65,6.65,6.648240037205327
20230706135632190,6.65,6.65,6.648240037205327
20230706135634560,6.65,6.65,6.648240037205327
20230706135642330,6.65,6.65,6.648240413192503
20230706135642410,6.65,6.65,6.648240413192503
20230706135645400,6.65,6.65,6.648240413192503
20230706135650920,6.65,6.65,6.648240413192503
20230706135653160,6.65,6.65,6.648240413192503
20230706135656670,6.65,6.65,6.648240413192503
20230706135658230,6.65,6.65,6.648240435304393
20230706135659400,6.65,6.65,6.648240435304393
20230706135704360,6.65,6.65,6.648240435304393
20230706135704480,6.65,6.65,6.648240435304393
20230706135706610,6.65,6.65,6.648240435304393
20230706135712390,6.65,6.65,6.648240435304393
20230706135712620,6.65,6.65,6.648240435304393
20230706135712630,6.65,6.65,6.648240435304393
20230706135714580,6.65,6.65,6.648242843412548
20230706135715210,6.65,6.65,6.648242843412548
20230706135718080,6.65,6.65,6.648242843412548
20230706135720390,6.65,6.65,6.648242843412548
20230706135722550,6.65,6.65,6.648249781834847
20230706135726400,6.66,6.65,6.648250667001475
20230706135728200,6.66,6.65,6.648250667001475
20230706135728760,6.66,6.65,6.648250667001475
20230706135730660,6.66,6.65,6.648250667001475
20230706135730980,6.66,6.65,6.648250667001475
20230706135731080,6.66,6.65,6.648250667001475
20230706135731440,6.66,6.65,6.648250667001475
20230706135731490,6.66,6.65,6.648250667001475
20230706135731510,6.66,6.65,6.648250667001475
20230706135735980,6.66,6.65,6.648250667001475
20230706135735990,6.66,6.65,6.648250667001475
20230706135736000,6.66,6.65,6.648286257893716
20230706135736010,6.66,6.65,6.6482865511349765
20230706135736020,6.66,6.65,6.648286844361556
20230706135736040,6.66,6.65,6.648287870538983
20230706135736390,6.66,6.65,6.648288456845359
20230706135736430,6.66,6.65,6.648288456845359
20230706135736800,6.66,6.65,6.648288456845359
20230706135736910,6.66,6.65,6.648288456845359
20230706135737070,6.66,6.65,6.648288456845359
20230706135737100,6.66,6.65,6.648288456845359
20230706135739370,6.66,6.65,6.648288456845359
20230706135739500,6.66,6.65,6.648290654971565
20230706135739510,6.66,6.65,6.64829182696819
20230706135739830,6.66,6.65,6.64829182696819
20230706135742380,6.66,6.65,6.648292998730226
20230706135744240,6.66,6.65,6.648292998730226
20230706135747070,6.66,6.65,6.648293084144885
20230706135752160,6.66,6.65,6.648293084144885
20230706135755290,6.66,6.65,6.648293084144885
20230706135758080,6.66,6.65,6.648293084144885
20230706135758770,6.66,6.65,6.648293084144885
20230706135800470,6.66,6.65,6.648293084144885
20230706135800640,6.66,6.65,6.648294255605241
20230706135800740,6.66,6.65,6.648294255605241
20230706135800830,6.66,6.65,6.648294255605241
20230706135803350,6.66,6.65,6.648295426831175
20230706135806360,6.66,6.65,6.648296158728372
20230706135809380,6.66,6.65,6.648296158728372
20230706135809480,6.66,6.65,6.648296158728372
20230706135816670,6.66,6.65,6.6483034726692125
20230706135819370,6.66,6.65,6.6483034726692125
20230706135822350,6.66,6.65,6.6483034726692125
20230706135822360,6.66,6.65,6.6483034726692125
20230706135824560,6.66,6.65,6.6483034726692125
20230706135825450,6.66,6.65,6.6483034726692125
20230706135827310,6.66,6.65,6.64832579665309
20230706135827350,6.66,6.65,6.6483259422811845
20230706135827400,6.66,6.65,6.648328271836668
20230706135827440,6.66,6.65,6.648328854080277
20230706135827450,6.66,6.65,6.648328999632103
20230706135827470,6.66,6.65,6.648330454950714
20230706135827480,6.66,6.65,6.648330745970885
20230706135827490,6.66,6.65,6.648330891475526
20230706135827560,6.66,6.65,6.648333219056405
20230706135827580,6.66,6.65,6.648334673322988
20230706135827960,6.66,6.65,6.648335691093897
20230706135828080,6.66,6.65,6.6483458590437285
20230706135828230,6.66,6.65,6.6483458590437285
20230706135828250,6.66,6.65,6.6483458590437285
20230706135828290,6.66,6.65,6.6483458590437285
20230706135828340,6.66,6.65,6.6483458590437285
20230706135828450,6.66,6.65,6.648383759394763
20230706135828470,6.66,6.65,6.64838416052914
20230706135828480,6.66,6.65,6.648447240615377
20230706135828490,6.66,6.65,6.648485185845825
20230706135828500,6.66,6.65,6.648485752418675
20230706135830340,6.66,6.65,6.648517814318922
20230706135830380,6.66,6.66,6.648517814318922
20230706135830440,6.66,6.66,6.648517814318922
20230706135830530,6.66,6.66,6.648517814318922
20230706135830960,6.66,6.66,6.64851837768551
20230706135831010,6.66,6.66,6.648518518518519
20230706135831070,6.66,6.66,6.648518800174172
20230706135831080,6.66,6.66,6.648518800174172
20230706135833380,6.66,6.66,6.648518800174172
20230706135833390,6.66,6.66,6.648518800174172
20230706135833420,6.66,6.66,6.648518800174172
20230706135833440,6.66,6.66,6.648518800174172
20230706135833560,6.66,6.66,6.648518800174172
20230706135833580,6.66,6.66,6.648518800174172
20230706135833710,6.66,6.66,6.648518800174172
20230706135833860,6.66,6.66,6.648518800174172
20230706135836500,6.66,6.66,6.648518800174172
20230706135838490,6.66,6.66,6.648518800174172
20230706135841600,6.66,6.66,6.648520067453625
20230706135841970,6.66,6.66,6.648522601173434
20230706135843750,6.66,6.66,6.648522601173434
20230706135844570,6.66,6.66,6.648522601173434
20230706135846270,6.66,6.66,6.648522601173434
20230706135846380,6.66,6.66,6.648522601173434
20230706135847230,6.66,6.66,6.648522601173434
20230706135849770,6.66,6.66,6.648522601173434
20230706135849910,6.66,6.66,6.648526813899463
20230706135857800,6.66,6.66,6.648526813899463
20230706135902890,6.66,6.66,6.648526813899463
20230706135908680,6.66,6.66,6.648526813899463
20230706135911690,6.66,6.66,6.648526813899463
20230706135913230,6.66,6.66,6.648526813899463
20230706135913390,6.66,6.66,6.648526813899463
20230706135914160,6.66,6.66,6.648526813899463
20230706135915990,6.66,6.66,6.648533504065091
20230706135916380,6.66,6.66,6.648533504065091
20230706135919680,6.66,6.66,6.648533504065091
20230706135922020,6.66,6.66,6.648533504065091
20230706135924080,6.66,6.66,6.648533504065091
20230706135926690,6.66,6.66,6.648533504065091
20230706135929540,6.66,6.66,6.648533504065091
20230706135932460,6.66,6.66,6.648533504065091
20230706135932960,6.66,6.66,6.648533504065091
20230706135937470,6.66,6.66,6.648533504065091
20230706135937500,6.66,6.66,6.648533504065091
20230706135937570,6.66,6.66,6.648533504065091
20230706135938350,6.66,6.66,6.648533504065091
20230706135938560,6.66,6.66,6.648533504065091
20230706135940750,6.66,6.66,6.648533504065091
20230706135949300,6.66,6.66,6.648533504065091
20230706135951570,6.66,6.66,6.648533504065091
20230706135954390,6.66,6.66,6.648539115948331
20230706135957320,6.66,6.66,6.648539115948331
20230706135959180,6.66,6.66,6.648539115948331
20230706140001730,6.66,6.66,6.648539115948331
20230706140002200,6.66,6.66,6.648539115948331
20230706140002470,6.66,6.66,6.648570039445922
20230706140005410,6.66,6.66,6.648570039445922
20230706140005600,6.66,6.66,6.648572922335618
20230706140007390,6.66,6.66,6.648572922335618
20230706140010140,6.66,6.66,6.648581301135913
20230706140013000,6.66,6.66,6.648590981549004
20230706140021090,6.66,6.66,6.648590981549004
20230706140028850,6.66,6.66,6.648590981549004
20230706140029010,6.66,6.66,6.648591399622566
20230706140032020,6.66,6.66,6.648605317896509
20230706140032070,6.66,6.66,6.648610275956701
20230706140032090,6.66,6.66,6.648610275956701
20230706140034900,6.66,6.66,6.648610275956701
20230706140035350,6.66,6.66,6.648610275956701
20230706140042320,6.66,6.66,6.648618621181548
20230706140043200,6.66,6.66,6.648618621181548
20230706140045260,6.66,6.66,6.648618621181548
20230706140045400,6.66,6.66,6.648618881864899
20230706140045630,6.66,6.66,6.6486198530980465
20230706140048440,6.66,6.66,6.6486198530980465
20230706140050860,6.66,6.66,6.6486198530980465
20230706140051050,6.66,6.66,6.6486198530980465
20230706140051580,6.66,6.66,6.648626785659895
20230706140053840,6.66,6.66,6.648626785659895
20230706140058790,6.66,6.66,6.648626785659895
20230706140101200,6.66,6.66,6.648626785659895
20230706140101310,6.66,6.66,6.648626785659895
20230706140109380,6.66,6.66,6.648626785659895
20230706140112290,6.66,6.66,6.648648637135398
20230706140112300,6.66,6.66,6.648648637135398
20230706140120570,6.66,6.66,6.648648637135398
20230706140120960,6.66,6.66,6.648648637135398
20230706140122780,6.66,6.66,6.648648637135398
20230706140123260,6.66,6.66,6.648648637135398
20230706140123940,6.66,6.66,6.648648637135398
20230706140126140,6.66,6.66,6.648648637135398
20230706140132020,6.66,6.66,6.648648637135398
20230706140136450,6.66,6.66,6.648648637135398
20230706140137070,6.66,6.66,6.648649035155513
20230706140137150,6.66,6.66,6.648649295011836
20230706140138970,6.66,6.66,6.648649295011836
20230706140139490,6.66,6.66,6.648649295011836
20230706140141970,6.66,6.66,6.648649295011836
20230706140144860,6.66,6.66,6.648649295011836
20230706140147520,6.66,6.66,6.648649295011836
20230706140147760,6.66,6.66,6.648649295011836
20230706140155830,6.66,6.66,6.648649295011836
20230706140157950,6.66,6.66,6.648649295011836
20230706140200980,6.66,6.66,6.648649554861834
20230706140201420,6.66,6.66,6.648649554861834
20230706140201750,6.66,6.66,6.648649554861834
20230706140206910,6.66,6.66,6.648649554861834
20230706140207110,6.66,6.66,6.648701249825486
20230706140209770,6.66,6.66,6.648701249825486
20230706140211400,6.66,6.66,6.648701249825486
20230706140212110,6.66,6.66,6.648701249825486
20230706140212320,6.66,6.66,6.648701249825486
20230706140212530,6.66,6.66,6.648701249825486
20230706140217010,6.66,6.66,6.648701249825486
20230706140217190,6.66,6.66,6.648701249825486
20230706140217270,6.66,6.66,6.648701249825486
20230706140220240,6.66,6.66,6.648701249825486
20230706140225030,6.66,6.66,6.648701249825486
20230706140225120,6.66,6.66,6.648701249825486
20230706140225480,6.66,6.66,6.648701249825486
20230706140228060,6.66,6.66,6.648701249825486
20230706140228070,6.66,6.66,6.648701249825486
20230706140228530,6.66,6.66,6.648701249825486
20230706140228720,6.66,6.66,6.648701249825486
20230706140230330,6.66,6.66,6.648701249825486
20230706140252480,6.66,6.66,6.648701249825486
20230706140255150,6.66,6.66,6.648701249825486
20230706140255570,6.66,6.66,6.648701249825486
20230706140259970,6.66,6.66,6.648701249825486
20230706140301060,6.66,6.66,6.648712244836058
20230706140301070,6.66,6.66,6.648712244836058
20230706140301080,6.66,6.66,6.648712244836058
20230706140301090,6.66,6.66,6.648712244836058
20230706140301100,6.66,6.66,6.648712244836058
20230706140301110,6.66,6.66,6.648712244836058
20230706140301120,6.66,6.66,6.648712244836058
20230706140301130,6.66,6.66,6.648712244836058
20230706140305340,6.66,6.66,6.648712244836058
20230706140305370,6.66,6.66,6.648712244836058
20230706140316340,6.66,6.66,6.648712244836058
20230706140316490,6.66,6.66,6.648712244836058
20230706140316510,6.66,6.66,6.648712244836058
20230706140316590,6.66,6.66,6.648712244836058
20230706140316600,6.66,6.66,6.648712244836058
20230706140316840,6.66,6.66,6.648712244836058
20230706140319370,6.66,6.66,6.648712244836058
20230706140322260,6.66,6.66,6.648712244836058
20230706140322340,6.66,6.66,6.648712244836058
20230706140325150,6.66,6.66,6.648712244836058
20230706140332300,6.66,6.66,6.648712244836058
20230706140340920,6.66,6.66,6.648712244836058
20230706140341190,6.66,6.66,6.648712244836058
20230706140341550,6.66,6.66,6.6487271085031185
20230706140343610,6.66,6.66,6.6487271085031185
20230706140346310,6.66,6.66,6.648728338414727
20230706140346730,6.66,6.66,6.648728338414727
20230706140346740,6.66,6.66,6.648728338414727
20230706140346750,6.66,6.66,6.648728338414727
20230706140346760,6.66,6.66,6.648728338414727
20230706140346790,6.66,6.66,6.648728338414727
20230706140346860,6.66,6.66,6.648728338414727
20230706140346870,6.66,6.66,6.648728338414727
20230706140349100,6.66,6.66,6.648728338414727
20230706140349380,6.66,6.66,6.648728338414727
20230706140352040,6.66,6.66,6.648736981138934
20230706140352090,6.66,6.66,6.648736981138934
20230706140352110,6.66,6.66,6.648736981138934
20230706140352380,6.66,6.66,6.648736981138934
20230706140354090,6.66,6.66,6.648737890546902
20230706140357410,6.66,6.66,6.648737890546902
20230706140400500,6.66,6.66,6.648737890546902
20230706140402070,6.66,6.66,6.648737890546902
20230706140410470,6.66,6.66,6.648761067302513
20230706140413070,6.66,6.66,6.648761067302513
20230706140413080,6.66,6.66,6.648761067302513
20230706140413150,6.66,6.66,6.648761067302513
20230706140415510,6.66,6.66,6.648761067302513
20230706140415760,6.66,6.66,6.648761067302513
20230706140416490,6.66,6.66,6.648761067302513
20230706140421500,6.66,6.66,6.648761067302513
20230706140429890,6.66,6.66,6.648761067302513
20230706140429900,6.66,6.66,6.648761067302513
20230706140430110,6.66,6.66,6.648761067302513
20230706140430240,6.66,6.66,6.648761067302513
20230706140432010,6.66,6.66,6.648761067302513
20230706140432030,6.66,6.66,6.648761067302513
20230706140432270,6.66,6.66,6.648761067302513
20230706140434770,6.66,6.66,6.648761067302513
20230706140435200,6.66,6.66,6.648761067302513
20230706140435580,6.66,6.66,6.648761067302513
20230706140437290,6.66,6.66,6.648761067302513
20230706140438010,6.66,6.66,6.648761067302513
20230706140438030,6.66,6.66,6.648761067302513
20230706140440250,6.66,6.66,6.648761067302513
20230706140442710,6.66,6.66,6.648761067302513
20230706140445390,6.66,6.66,6.648761067302513
20230706140449040,6.66,6.66,6.648775875519324
20230706140451600,6.66,6.66,6.648775875519324
20230706140451610,6.66,6.66,6.648775875519324
20230706140453610,6.66,6.66,6.648775875519324
20230706140456700,6.66,6.66,6.648775875519324
20230706140505270,6.66,6.66,6.648775875519324
20230706140512410,6.66,6.66,6.648775875519324
20230706140512480,6.66,6.66,6.648775875519324
20230706140515560,6.66,6.66,6.648775875519324
20230706140518270,6.66,6.66,6.648775875519324
20230706140520430,6.66,6.66,6.648819184183369
20230706140526400,6.66,6.66,6.648819184183369
20230706140528620,6.66,6.66,6.648819184183369
20230706140528640,6.66,6.66,6.648819184183369
20230706140528820,6.66,6.66,6.648819184183369
20230706140528900,6.66,6.66,6.648819184183369
20230706140529480,6.66,6.66,6.648819184183369
20230706140529490,6.66,6.66,6.648819184183369
20230706140531230,6.66,6.66,6.648819184183369
